property_type,furnishing,price,area,bedrooms,bathrooms,neighborhood,latitude,longitude,city
Apartment,Unfurnished,"850,000",201 Sq. M.,5,3,Al Sawari,21.78835751256001,39.09540654193032,Jeddah
Apartment,Unfurnished,"850,000",205 Sq. M.,6,4,Mishrifah,21.54038189118547,39.180345704950085,Jeddah
Apartment,Unfurnished,"750,000",166 Sq. M.,5,4,Mishrifah,21.540423056714687,39.180328983052924,Jeddah
Apartment,Unfurnished,"450,000",102 Sq. M.,3,2,Al Marwah,21.606669323105706,39.208215165968184,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"750,000",138 Sq. M.,4,3,Al Zahraa,21.595161832493158,39.13314223432457,Jeddah
Apartment,Unfurnished,"520,000",131 Sq. M.,4,3,Al Manar,21.599195905803082,39.23245113561466,Jeddah
Apartment,Unfurnished,"520,000",131 Sq. M.,4,3,Al Manar,21.599195905803082,39.23245113561466,Jeddah
Apartment,Unfurnished,"460,000",101 Sq. M.,3,3,Al Rabwa,21.59214426990763,39.18737776988235,Jeddah
Apartment,Unfurnished,"619,000",151 Sq. M.,5,1,Al Waha,21.56389407297158,39.23995115562642,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,3,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"500,000",119 Sq. M.,4,3,Al Waha,21.563934562357414,39.23691059236657,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"650,000",181 Sq. M.,5,3,Al Nuzhah,21.62089063018845,39.1668465449406,Jeddah
Apartment,Unfurnished,"549,000",525 Sq. M.,4,3,Al Rawdah,21.577729285286882,39.16047432832897,Jeddah
Apartment,Unfurnished,"680,000",175 Sq. M.,5,3,Al Aziziyah,21.562193189010124,39.20531363366667,Jeddah
Apartment,Unfurnished,"680,000",175 Sq. M.,5,3,Al Aziziyah,21.562193189010124,39.20531363366667,Jeddah
Apartment,Unfurnished,"549,000",524 Sq. M.,3,2,Al Rawdah,21.577729285286882,39.16047432832897,Jeddah
Apartment,Unfurnished,"549,000",181 Sq. M.,6,3,Al Mraikh,21.55486280643382,39.28703284475988,Jeddah
Apartment,Unfurnished,"450,000",130 Sq. M.,4,3,Al Waha,21.5491801768524,39.24685602772444,Jeddah
Apartment,Unfurnished,"470,000",136 Sq. M.,5,3,Al Mraikh,21.548609590402425,39.29233062007216,Jeddah
Apartment,Unfurnished,"760,000",137 Sq. M.,4,3,Al Salamah,21.581113627964,39.15186181462893,Jeddah
Apartment,Unfurnished,"760,000",137 Sq. M.,4,3,Al Salamah,21.58108847229584,39.151848183341926,Jeddah
Apartment,Unfurnished,"760,000",140 Sq. M.,4,3,Al Salamah,21.61098612237582,39.15189056106618,Jeddah
Apartment,Unfurnished,"495,000",125 Sq. M.,4,3,Al Naseem,21.51509504827515,39.22987867131468,Jeddah
Apartment,Unfurnished,"1,150,000",162 Sq. M.,5,3,Al Salamah,21.584320185664488,39.162223597347136,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,2,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"550,000",135 Sq. M.,4,3,Al Marwah,21.610849255258994,39.217402980513064,Jeddah
Apartment,Unfurnished,"730,000",112 Sq. M.,4,3,Al Rawdah,21.57591222116062,39.16597688012312,Jeddah
Apartment,Unfurnished,"860,000",197 Sq. M.,6,5,Al Faisaliyah,21.567944838258132,39.18517821406308,Jeddah
Apartment,Unfurnished,"850,000",205 Sq. M.,6,4,Mishrifah,21.540331993558027,39.18039934913049,Jeddah
Apartment,Unfurnished,"850,000",205 Sq. M.,6,4,Mishrifah,21.54012741310734,39.18033363500962,Jeddah
Apartment,Unfurnished,"850,000",197 Sq. M.,6,5,Al Faisaliyah,21.567715352642324,39.18524661039274,Jeddah
Apartment,Unfurnished,"999,000",184 Sq. M.,3,3,Al Nuzhah,21.625565863214014,39.15459600457364,Jeddah
Apartment,Unfurnished,"850,000",205 Sq. M.,6,4,Mishrifah,21.540331993558027,39.18039934913049,Jeddah
Apartment,Unfurnished,"780,000",136 Sq. M.,4,3,Al Rawdah,21.565331972962916,39.160381743540654,Jeddah
Apartment,Unfurnished,"1,050,000",165 Sq. M.,4,3,Al Nahdah,21.60986730472233,39.12184418482807,Jeddah
Apartment,Unfurnished,"2,700,000",180 Sq. M.,2,3,Al Shati,21.579458533447262,39.11027757100025,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"1,200,000",177 Sq. M.,5,4,Al Zahraa,21.60699366814398,39.135379891519804,Jeddah
Apartment,Unfurnished,"719,000",223 Sq. M.,6,5,Governmental1,21.823077286011312,39.14557589417187,Jeddah
Apartment,Unfurnished,"760,000",140 Sq. M.,5,3,Al Salamah,21.61098612237582,39.15189056106618,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,3,4,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
Apartment,Unfurnished,"385,000",108 Sq. M.,3,3,Al Rayaan,21.688143098897996,39.20685007620658,Jeddah
Apartment,Unfurnished,"600,000",181 Sq. M.,6,3,Al Mraikh,21.554821358740806,39.28709226586619,Jeddah
Apartment,Unfurnished,"650,000",181 Sq. M.,5,3,Al Nuzhah,21.62089063018845,39.1668465449406,Jeddah
Apartment,Furnished,"950,000",213 Sq. M.,5,4,Al Manar,21.596754158180822,39.22987260844997,Jeddah
Apartment,Unfurnished,"720,000",170 Sq. M.,5,3,Al Rayaan,21.676288357486232,39.21220879928858,Jeddah
Apartment,Unfurnished,"540,000",131 Sq. M.,4,3,Al Marwah,21.60690990306392,39.207630263806685,Jeddah
Apartment,Unfurnished,"750,000",166 Sq. M.,5,4,Mishrifah,21.540132402877575,39.18033363500962,Jeddah
Apartment,Unfurnished,"750,000",166 Sq. M.,5,4,Mishrifah,21.540423056714687,39.180328983052924,Jeddah
Apartment,Unfurnished,"850,000",197 Sq. M.,6,4,Al Faisaliyah,21.567585485907205,39.18487773649841,Jeddah
Apartment,Unfurnished,"790,000",175 Sq. M.,5,3,Al Salamah,21.592610647452076,39.15772470327428,Jeddah
Apartment,Unfurnished,"700,000",159 Sq. M.,5,3,Al Fayhaa,21.50041012947573,39.237406500076474,Jeddah
Apartment,Unfurnished,"730,000",112 Sq. M.,4,3,Al Rawdah,21.575814944607192,39.166047958662155,Jeddah
Apartment,Unfurnished,"670,000",158 Sq. M.,5,4,Al Safa,21.579813304165736,39.21201520922908,Jeddah
Apartment,Unfurnished,"470,000",137 Sq. M.,4,3,Al Mraikh,21.55482236244899,39.287075228388694,Jeddah
Apartment,Unfurnished,"850,000",183 Sq. M.,5,4,Al Manar,21.59311108977313,39.23324697551824,Jeddah
Apartment,Unfurnished,"1,060,000",497 Sq. M.,5,4,Al Zahraa,21.606986274454485,39.13086664993124,Jeddah
Apartment,Unfurnished,"950,000",299 Sq. M.,7,5,Prince Abdulmajeed,21.43191565407671,39.26661938412619,Jeddah
Apartment,Unfurnished,"920,000",166 Sq. M.,5,4,Al Salamah,21.588211676507992,39.15443329488449,Jeddah
Apartment,Unfurnished,"499,000",879 Sq. M.,3,3,Al Rawdah,21.57713491062559,39.164566028128675,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.62914999812776,39.161498649534664,Jeddah
